i,x,y,voltage,flow,cover dropped,index,drop stage
154,490.896000,598.788000,8.345914e-02,0.016878, 444.779268,0.011938,15428,1 of 10 
155,476.046000,598.788000,7.558025e-02,0.023488, 444.779268,0.041322,15413,1 of 10 
156,474.066000,598.788000,7.474698e-02,0.017177, 444.779268,0.031221,15411,1 of 10 
157,473.076000,598.788000,7.435404e-02,0.000471, 444.779268,0.000918,15410,1 of 10 
158,436.446000,598.788000,6.941027e-02,0.032528, 444.779268,1.000000,15375,1 of 10 
159,435.456000,598.788000,6.940431e-02,0.025601, 444.779268,1.000000,15374,1 of 10 
160,605.736000,599.778000,2.220437e-01,0.017166, 444.779268,0.797980,15373,1 of 10 
161,604.746000,599.778000,2.220272e-01,0.007252, 444.779268,0.278237,15372,1 of 10 
162,603.756000,599.778000,2.220066e-01,0.009290, 444.779268,0.314050,15371,1 of 10 
163,602.766000,599.778000,2.219832e-01,0.024476, 444.779268,0.745638,15370,1 of 10 
164,601.776000,599.778000,2.219558e-01,0.035864, 444.779268,0.945822,15369,1 of 10 
165,600.786000,599.778000,2.219186e-01,0.018088, 444.779268,0.392103,15368,1 of 10 
166,599.796000,599.778000,2.218600e-01,0.000980, 444.779268,0.016529,15367,1 of 10 
167,592.866000,599.778000,2.197253e-01,0.016566, 444.779268,0.070707,15366,1 of 10 
168,591.876000,599.778000,2.190532e-01,0.022140, 444.779268,0.078053,15365,1 of 10 
169,590.886000,599.778000,2.183085e-01,0.006732, 444.779268,0.020202,15364,1 of 10 
170,493.866000,599.778000,9.075944e-02,0.002591, 444.779268,0.000918,15275,1 of 10 
171,490.896000,599.778000,8.291325e-02,0.029034, 444.779268,0.021120,15274,1 of 10 
172,473.076000,599.778000,7.438583e-02,0.003429, 444.779268,0.006428,15256,1 of 10 
173,472.086000,599.778000,7.404026e-02,0.025480, 444.779268,0.054178,15255,1 of 10 
174,452.286000,599.778000,7.133521e-02,0.015477, 444.779268,0.050505,15235,1 of 10 
175,449.316000,599.778000,7.053886e-02,0.020365, 444.779268,0.060606,15232,1 of 10 
176,448.326000,599.778000,7.030533e-02,0.033599, 444.779268,0.103765,15231,1 of 10 
177,447.336000,599.778000,7.009927e-02,0.001389, 444.779268,0.004591,15230,1 of 10 
178,435.456000,599.778000,6.938547e-02,0.029739, 444.779268,1.000000,15220,1 of 10 
179,604.746000,600.768000,2.220318e-01,0.003166, 444.779268,0.102847,15219,1 of 10 
180,603.756000,600.768000,2.220107e-01,0.012279, 444.779268,0.343434,15218,1 of 10 
181,602.766000,600.768000,2.219862e-01,0.031664, 444.779268,0.779614,15217,1 of 10 
182,599.796000,600.768000,2.218585e-01,0.004119, 444.779268,0.056015,15214,1 of 10 
183,497.826000,600.768000,1.025907e-01,0.002563, 444.779268,0.000918,15125,1 of 10 
184,473.076000,600.768000,7.440511e-02,0.016930, 444.779268,0.030303,15104,1 of 10 
